DATETIME,RAW,HOST,FACILITY,PRIORITY,LEVEL,LEVEL_INT,TAG,PROGRAM,MSG
20181109141134,20181109141134 | gcs1 | daemon | info | info | 1e | systemd | Started Session 3109291 of user wf.,gcs1,daemon,info,info,7.0,1e,systemd,Started Session 3109291 of user wf.
20181109141134,20181109141134 | gcs1 | daemon | info | info | 1e | systemd | Starting Session 3109291 of user wf.,gcs1,daemon,info,info,7.0,1e,systemd,Starting Session 3109291 of user wf.
20181109141134,20181109141134 | gcs1 | auth | info | info | 26 | systemd-logind | Removed session 3109291.,gcs1,auth,info,info,7.0,26,systemd-logind,Removed session 3109291.
20181109141139,20181109141139 | gcs1 | auth | info | info | 26 | systemd-logind | New session 3109292 of user wf.,gcs1,auth,info,info,7.0,26,systemd-logind,New session 3109292 of user wf.
20181109141139,20181109141139 | gcs1 | daemon | info | info | 1e | systemd | Started Session 3109292 of user wf.,gcs1,daemon,info,info,7.0,1e,systemd,Started Session 3109292 of user wf.
20181109141139,20181109141139 | gcs1 | daemon | info | info | 1e | systemd | Starting Session 3109292 of user wf.,gcs1,daemon,info,info,7.0,1e,systemd,Starting Session 3109292 of user wf.
20181109141139,20181109141139 | gcs1 | auth | info | info | 26 | systemd-logind | Removed session 3109292.,gcs1,auth,info,info,7.0,26,systemd-logind,Removed session 3109292.
20181109141142,20181109141142 | tsdn-db | kern | warning | warning | 04 | kernel | ACPI Error: SMBus/IPMI/GenericSerialBus write requires Buffer of length 66, found length 32 (20130517/exfield-389),tsdn-db,kern,warning,warning,5.0,04,kernel,ACPI Error: SMBus/IPMI/GenericSerialBus write requires Buffer of length 66, found length 32 (20130517/exfield-389)
20181109141142,20181109141142 | tsdn-db | kern | warning | warning | 04 | kernel | ACPI Error: Method parse/execution failed [\_SB_.PMI0._PMM] (Node ffff880169403078), AE_AML_BUFFER_LIMIT (20130517/psparse-536),tsdn-db,kern,warning,warning,5.0,04,kernel,ACPI Error: Method parse/execution failed [\_SB_.PMI0._PMM] (Node ffff880169403078), AE_AML_BUFFER_LIMIT (20130517/psparse-536)
20181109141142,20181109141142 | tsdn-db | kern | warning | warning | 04 | kernel | ACPI Exception: AE_AML_BUFFER_LIMIT, Evaluating _PMM (20130517/power_meter-339),tsdn-db,kern,warning,warning,5.0,04,kernel,ACPI Exception: AE_AML_BUFFER_LIMIT, Evaluating _PMM (20130517/power_meter-339)
20181109141144,20181109141144 | gcs1 | auth | info | info | 26 | systemd-logind | New session 3109293 of user wf.,gcs1,auth,info,info,7.0,26,systemd-logind,New session 3109293 of user wf.
20181109141144,20181109141144 | gcs1 | daemon | info | info | 1e | systemd | Started Session 3109293 of user wf.,gcs1,daemon,info,info,7.0,1e,systemd,Started Session 3109293 of user wf.
20181109141144,20181109141144 | gcs1 | daemon | info | info | 1e | systemd | Starting Session 3109293 of user wf.,gcs1,daemon,info,info,7.0,1e,systemd,Starting Session 3109293 of user wf.
20181109141144,20181109141144 | gcs1 | auth | info | info | 26 | systemd-logind | Removed session 3109293.,gcs1,auth,info,info,7.0,26,systemd-logind,Removed session 3109293.
20181109141149,20181109141149 | gcs1 | auth | info | info | 26 | systemd-logind | New session 3109294 of user wf.,gcs1,auth,info,info,7.0,26,systemd-logind,New session 3109294 of user wf.
20181109141149,20181109141149 | gcs1 | daemon | info | info | 1e | systemd | Started Session 3109294 of user wf.,gcs1,daemon,info,info,7.0,1e,systemd,Started Session 3109294 of user wf.
20181109141149,20181109141149 | gcs1 | daemon | info | info | 1e | systemd | Starting Session 3109294 of user wf.,gcs1,daemon,info,info,7.0,1e,systemd,Starting Session 3109294 of user wf.
20181109141150,20181109141150 | gcs1 | auth | info | info | 26 | systemd-logind | Removed session 3109294.,gcs1,auth,info,info,7.0,26,systemd-logind,Removed session 3109294.
